name,agents_average_initial_opinion,technology_success_rate,k_S->Q,k_S->L,k_Q->L,k_Q->B,k_L->Q,k_L->B,k_B->S
2_20_0,1.0,0.0,0.25768746061751574,0.25768746061751574,0.08276846963807052,0.3470414698619337,0.14851235103411614,0.0,0.0
2_20_1,1.0,0.1,0.003013604386919825,0.1784166150340372,0.0,0.3007673281553902,0.10911889612935952,0.0,0.0
2_20_2,1.0,0.2,0.0014829096037455435,0.1276542739366962,0.0,0.27806808696794577,0.1007319251707605,0.0,0.0
2_20_3,1.0,0.3,0.0,0.03711043593211149,0.0,0.20367030183021523,0.06794103223007512,0.0,0.0
2_20_4,1.0,0.4,0.03275346186344182,0.0,0.0,0.2156246208632833,0.04397007681519704,0.0,0.0
2_20_5,1.0,0.5,0.055473587548753714,0.0,0.0,0.22659115415708053,0.029110152902489143,0.0,0.0
2_20_6,1.0,0.6,0.018016346505937943,0.0,0.0,0.11569197577491276,0.016383779388238817,0.0,0.0
2_20_7,1.0,0.7,0.005094919159069654,0.004301001136128191,0.0,0.048115887925827536,0.00441766041755174,0.0013579033540245568,0.0
2_20_8,1.0,0.8,0.0,0.0,0.24072652011852505,0.07167924554073721,0.0,0.0,0.0
2_20_9,1.0,0.9,0.0,0.0,0.2412606287493297,0.07203188749442034,0.0,0.0,0.0
2_20_10,1.0,1.0,0.0,0.0,0.2447099438584579,0.07325842209446382,0.0,0.0,0.0
3_0_0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_1,-1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_2,-1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_3,-1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_4,-1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_5,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_6,-1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_7,-1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_8,-1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_9,-1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0_10,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_1,-0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_2,-0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_3,-0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_4,-0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_5,-0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_6,-0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_7,-0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_8,-0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_9,-0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1_10,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_1,-0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_2,-0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_3,-0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_4,-0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_5,-0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_6,-0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_7,-0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2_8,-0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
