name,seed,teams_num,agents_average_initial_opinion,technology_success_rate
0_7_10_3,383329927,15,-0.3,1.0
0_7_10_4,383329927,20,-0.3,1.0
0_7_10_5,383329927,25,-0.3,1.0
0_8_0_0,383329927,1,-0.2,0.0
0_8_0_1,383329927,5,-0.2,0.0
0_8_0_2,383329927,10,-0.2,0.0
0_8_0_3,383329927,15,-0.2,0.0
0_8_0_4,383329927,20,-0.2,0.0
0_8_0_5,383329927,25,-0.2,0.0
0_8_1_0,383329927,1,-0.2,0.1
0_8_1_1,383329927,5,-0.2,0.1
0_8_1_2,383329927,10,-0.2,0.1
0_8_1_3,383329927,15,-0.2,0.1
0_8_1_4,383329927,20,-0.2,0.1
0_8_1_5,383329927,25,-0.2,0.1
0_8_2_0,383329927,1,-0.2,0.2
0_8_2_1,383329927,5,-0.2,0.2
0_8_2_2,383329927,10,-0.2,0.2
0_8_2_3,383329927,15,-0.2,0.2
0_8_2_4,383329927,20,-0.2,0.2
0_8_2_5,383329927,25,-0.2,0.2
0_8_3_0,383329927,1,-0.2,0.3
0_8_3_1,383329927,5,-0.2,0.3
0_8_3_2,383329927,10,-0.2,0.3
0_8_3_3,383329927,15,-0.2,0.3
0_8_3_4,383329927,20,-0.2,0.3
0_8_3_5,383329927,25,-0.2,0.3
0_8_4_0,383329927,1,-0.2,0.4
0_8_4_1,383329927,5,-0.2,0.4
0_8_4_2,383329927,10,-0.2,0.4
0_8_4_3,383329927,15,-0.2,0.4
0_8_4_4,383329927,20,-0.2,0.4
0_8_4_5,383329927,25,-0.2,0.4
0_8_5_0,383329927,1,-0.2,0.5
0_8_5_1,383329927,5,-0.2,0.5
0_8_5_2,383329927,10,-0.2,0.5
0_8_5_3,383329927,15,-0.2,0.5
0_8_5_4,383329927,20,-0.2,0.5
0_8_5_5,383329927,25,-0.2,0.5
0_8_6_0,383329927,1,-0.2,0.6
0_8_6_1,383329927,5,-0.2,0.6
0_8_6_2,383329927,10,-0.2,0.6
0_8_6_3,383329927,15,-0.2,0.6
0_8_6_4,383329927,20,-0.2,0.6
0_8_6_5,383329927,25,-0.2,0.6
0_8_7_0,383329927,1,-0.2,0.7
0_8_7_1,383329927,5,-0.2,0.7
0_8_7_2,383329927,10,-0.2,0.7
0_8_7_3,383329927,15,-0.2,0.7
0_8_7_4,383329927,20,-0.2,0.7
0_8_7_5,383329927,25,-0.2,0.7
0_8_8_0,383329927,1,-0.2,0.8
0_8_8_1,383329927,5,-0.2,0.8
0_8_8_2,383329927,10,-0.2,0.8
0_8_8_3,383329927,15,-0.2,0.8
0_8_8_4,383329927,20,-0.2,0.8
0_8_8_5,383329927,25,-0.2,0.8
0_8_9_0,383329927,1,-0.2,0.9
0_8_9_1,383329927,5,-0.2,0.9
0_8_9_2,383329927,10,-0.2,0.9
0_8_9_3,383329927,15,-0.2,0.9
0_8_9_4,383329927,20,-0.2,0.9
0_8_9_5,383329927,25,-0.2,0.9
0_8_10_0,383329927,1,-0.2,1.0
0_8_10_1,383329927,5,-0.2,1.0
0_8_10_2,383329927,10,-0.2,1.0
0_8_10_3,383329927,15,-0.2,1.0
0_8_10_4,383329927,20,-0.2,1.0
0_8_10_5,383329927,25,-0.2,1.0
0_9_0_0,383329927,1,-0.1,0.0
0_9_0_1,383329927,5,-0.1,0.0
0_9_0_2,383329927,10,-0.1,0.0
0_9_0_3,383329927,15,-0.1,0.0
0_9_0_4,383329927,20,-0.1,0.0
0_9_0_5,383329927,25,-0.1,0.0
